custom_topic,names
Topic 1,R&D Accomplishments 
Topic 2,R&D Institute & Tech Transfer 
Topic 3,Regional Clusters 
Topic 4,Industrial Collaboration (产学研)
Topic 5,Interdepartmental Coordination 
Topic 6,S&T Project Management 
Topic 7,International Cooperation 
Topic 8,Green City Technology 
Topic 9,TCM
Topic 10,Provincial Govt Planning 
Topic 11,Hazard Monitoring & Forecasting
Topic 12,Core Techology & Indigenous Brand
Topic 13,Marine Energy & Hydrogen Power 
Topic 14,Improve S&T Capability 
Topic 15,Cultivate Talent
Topic 16,Improve Citizens' S&T Quality 
Topic 17,S&T in Cultural Sectors 
Topic 18,S&T SMEs
Topic 19,Personnel Evaluation Mechanism
Topic 20,Transform S&T Ach. (Military-Civil)
Topic 21,Big Data & AI (general)
Topic 22,Govt's Financial Support
Topic 23,Food Processing 
Topic 24,Innovation Driven Strategy
Topic 25,Task Evaluation 
Topic 26,Popularize S&T 
Topic 27,Mining of Mineral Resources
Topic 28,Perfect S&T Innovation System
Topic 29,Standard System 
Topic 30,Resource-sharing Platform 
Topic 31,Sustainable Use of Ecological Resources
Topic 32,Health & Clinical Research 
Topic 33,Core Area Breakthrough 
Topic 34,Electronic Component 
Topic 35,Industrial Chemical Tehnology 
Topic 36,Industrial/Demo Base
Topic 37,Reform S&T System 
Topic 38,Genetic Research 
Topic 39,Role of Participants in Innovation 
Topic 40,Marketize S&T 
Topic 41,Ecological Protection 
Topic 42,S&T for Poverty Alleviation 
Topic 43,Top Level Design 
Topic 44,High-Tech/Demo/S&T Zones
Topic 45,Solar Energy
Topic 46,National Lab & Center
Topic 47,Big Data & AI (specific)
Topic 48,Quantem & Satcom 
Topic 49,S&T in Rural Sector 
Topic 50,High-Performance Material 
Topic 51,Entrepreneurship & Buisness Incubation
Topic 52,S&T Financing & Support Borderlands
Topic 53,Cultivate Emerging Industry 
Topic 54,EV & CEV
Topic 55,Research in Basic Disciplines
Topic 56,Heavy Equipment Manufacutring 
Topic 57,Key Technology R&D
Topic 58,Improve S&T Services
Topic 59,Preferential Policy 
Topic 60,Livestock Farming Technology
Topic 61,R&D Institute & University 
Topic 62,Intellectual Property Right 
Topic 63,New Crop Varieties
Topic 64,Window of Opportunity 
Topic 65,R&D International Achievements 
Topic 66,Major Demands & Projects
Topic 67,R&D Ethics 
Topic 68,Reward & Incentivize S&T Personnel
Topic 69,Pollution Control 
Topic 70,High-Performance Agricultural Technology
Topic 71,Private Capital for Entrepreneurship
Topic 72,Biomedical Technology 
Topic 73,Intelligent Equipment 
Topic 74,Miscellaneous
